Date,Symbol,Open,High,Low,Close,Volume,Open Interest
20210101,FUT1,150,155,100,100,583,598
20210101,FUT2,300,320,160,305,1025,440
20210101,FUT3,155,230,130,125,1192,401
20210101,FUT4,185,225,155,160,0,479
20210101,FUT5,165,350,150,200,1150,611
20210101,FUT6,495,635,355,525,792,408
20210101,FUT7,500,535,395,465,1194,585
20210101,FUT8,295,395,240,290,843,306
20210101,FUT9,335,495,255,370,1283,484
20210101,FUT10,475,605,360,435,1531,598
20210104,FUT1,150,190,100,100,1175,485
20210104,FUT2,43285,43285,43285,43285,0,400
20210104,FUT3,135,145,100,200,1309,502
20210104,FUT4,215,240,130,220,1241,534
20210104,FUT5,2050,2550,2000,1900,1167,576
20210104,FUT6,565,645,555,620,1225,362
20210104,FUT7,550,645,520,530,790,669
20210104,FUT8,245,275,135,205,869,572
20210104,FUT9,435,485,390,505,1322,499
20210104,FUT10,340,415,315,255,1530,554
20210105,FUT1,110,120,100,100,818,385
20210105,FUT2,43345,43390,43285,43375,1220,373
20210105,FUT3,100,165,100,205,1073,381
20210105,FUT4,330,395,270,280,1150,667
20210105,FUT5,1935,2025,1845,1945,649,650
20210105,FUT6,615,775,595,560,1224,535
20210105,FUT7,525,600,485,535,1113,324
20210105,FUT8,3,3,3,3,1077,552
20210105,FUT9,510,585,425,475,868,434
20210105,FUT10,43240,43240,43240,43240,0,480
20210106,FUT1,110,115,100,100,1186,435
20210106,FUT2,43335,43375,43330,43390,1104,609
20210106,FUT3,250,280,225,290,1071,481
20210106,FUT4,245,315,205,235,1092,485
20210106,FUT5,1945,2010,1895,1855,606,613
20210106,FUT6,495,570,465,505,1153,408
20210106,FUT7,555,625,280,595,969,648
20210106,FUT8,100,100,100,100,811,556
20210106,FUT9,540,620,530,510,1127,547
20210106,FUT10,43215,43255,43135,43220,1110,438
20210107,FUT1,100,160,100,100,799,524
20210107,FUT2,43355,43360,43335,43315,1039,376
20210107,FUT3,345,345,285,425,1119,423
20210107,FUT4,255,345,175,230,859,442
20210107,FUT5,1850,1955,1760,1800,960,346
20210107,FUT6,505,530,485,475,1229,560
20210107,FUT7,520,545,510,500,1023,616
20210107,FUT8,100,105,100,135,0,533
20210107,FUT9,435,440,350,500,847,464
20210107,FUT10,432700,433250,432500,433150,890,500
20210108,FUT1,100,140,100,100,1108,466
20210108,FUT2,43240,43360,43190,43155,1055,450
20210108,FUT3,440,545,375,420,996,480
20210108,FUT4,220,430,145,225,1248,260
20210108,FUT5,1860,1930,1675,1890,875,610
20210108,FUT6,510,515,490,495,1184,644
20210108,FUT7,525,560,465,525,1118,712
20210108,FUT8,245,250,235,185,894,411
20210108,FUT9,595,635,545,650,1157,420
20210108,FUT10,43500,43500,43500,43500,679,477
20210111,FUT1,100,100,100,100,1207,583
20210111,FUT2,43180,43235,43150,43100,1158,333
20210111,FUT3,435,465,415,415,1274,354
20210111,FUT4,265,275,230,260,1311,438
20210111,FUT5,1840,1840,1735,1935,1111,464
20210111,FUT6,485,625,480,435,1128,471
20210111,FUT7,29850,29850,29850,29850,0,461
20210111,FUT8,285,330,220,315,871,408
20210111,FUT9,660,700,620,695,647,540
20210111,FUT10,43500,43500,43475,43500,1262,522
20210112,FUT1,100,195,100,100,1470,466
20210112,FUT2,43190,43275,43120,43205,1032,412
20210112,FUT3,410,500,375,370,0,718
20210112,FUT4,295,400,285,240,1208,333
20210112,FUT5,1875,2015,1845,1915,1326,677
20210112,FUT6,490,505,410,530,892,376
20210112,FUT7,29805,29850,29730,29765,1246,536
20210112,FUT8,320,550,225,335,979,524
20210112,FUT9,705,710,685,685,1381,540
20210112,FUT10,43500,43500,43350,43440,493,662
20210113,FUT1,120,285,100,145,1118,390
20210113,FUT2,1,1,1,1,863,387
20210113,FUT3,370,375,320,380,828,371
20210113,FUT4,145,210,100,265,1100,686
20210113,FUT5,2015,2050,1910,2035,682,611
20210113,FUT6,515,570,460,585,1041,566
20210113,FUT7,29810,29880,29800,29770,1040,350
20210113,FUT8,325,335,175,285,705,414
20210113,FUT9,670,755,665,705,1005,571
20210113,FUT10,43450,43470,43380,43410,746,467
20210114,FUT1,180,270,145,160,1200,423
20210114,FUT2,100,100,100,100,915,420
20210114,FUT3,385,400,335,350,886,375
20210114,FUT4,300,330,220,160,996,523
20210114,FUT5,2130,2190,2125,2040,1016,433
20210114,FUT6,1,1,1,1,1091,522
20210114,FUT7,29725,29860,29595,29775,1267,508
20210114,FUT8,345,395,325,385,1211,520
20210114,FUT9,640,650,590,610,660,463
20210114,FUT10,43065,43065,43065,43065,0,408
20210115,FUT1,155,240,100,165,1048,476
20210115,FUT2,105,101,100,145,713,484
20210115,FUT3,435,475,370,485,804,411
20210115,FUT4,135,150,100,105,752,603
20210115,FUT5,2075,2150,2000,2015,1138,633
20210115,FUT6,100,100,100,100,953,451
20210115,FUT7,29805,29840,29700,29815,958,390
20210115,FUT8,320,350,255,240,929,539
20210115,FUT9,2,2,2,2,813,615
20210115,FUT10,42975,43130,42950,42960,1016,342
20210118,FUT1,155,270,100,155,1213,488
20210118,FUT2,125,230,100,130,1011,579
20210118,FUT3,5050,5250,4750,4500,1012,475
20210118,FUT4,150,255,130,100,689,518
20210118,FUT5,2000,2065,1885,2095,1147,611
20210118,FUT6,100,100,100,120,1144,461
20210118,FUT7,29770,29850,29765,29820,871,527
20210118,FUT8,195,200,100,145,572,572
20210118,FUT9,4140,4140,4140,4140,0,489
20210118,FUT10,42920,42955,42845,42980,1200,470
20210119,FUT1,260,275,255,260,1344,613
20210119,FUT2,100,125,100,100,735,559
20210119,FUT3,4465,4500,4460,4490,1088,642
20210119,FUT4,100,170,100,100,1104,528
20210119,FUT5,2035,2130,2025,2040,960,439
20210119,FUT6,100,180,100,100,892,449
20210119,FUT7,32485,32485,32485,32485,0,534
20210119,FUT8,115,200,100,100,1214,591
20210119,FUT9,4110,4115,4075,3990,984,596
20210119,FUT10,43030,43060,42985,43070,1188,422
20210120,FUT1,220,230,110,255,992,415
20210120,FUT2,135,180,100,100,0,476
20210120,FUT3,4435,4455,4370,4480,876,388
20210120,FUT4,100,100,100,100,995,599
20210120,FUT5,2005,1998,1935,2025,984,464
20210120,FUT6,100,120,100,100,1020,358
20210120,FUT7,32500,32535,32500,32575,820,624
20210120,FUT8,100,165,100,100,1199,524
20210120,FUT9,3900,3930,3775,3965,601,411
20210120,FUT10,43125,43130,42995,43115,713,624
20210121,FUT1,220,235,195,200,908,490
20210121,FUT2,165,215,100,215,990,388
20210121,FUT3,4455,4490,4320,4375,870,598
20210121,FUT4,100,140,100,130,741,547
20210121,FUT5,1995,2005,1985,1975,806,693
20210121,FUT6,100,100,100,100,1171,381
20210121,FUT7,32620,32680,32605,32605,948,467
20210121,FUT8,110,120,100,140,1060,610
20210121,FUT9,3995,4075,3945,3925,900,696
20210121,FUT10,43120,43160,42950,43055,1131,519
20210122,FUT1,195,250,165,200,1111,623
20210122,FUT2,3,3,3,3,1119,436
20210122,FUT3,4430,4540,4330,4380,1436,599
20210122,FUT4,3575,3575,3575,3575,0,404
20210122,FUT5,3,3,3,3,1041,285
20210122,FUT6,115,210,100,120,886,635
20210122,FUT7,32600,32620,32530,32575,1111,500
20210122,FUT8,1300,3750,1150,1400,848,598
20210122,FUT9,3955,3975,3950,3940,965,371
20210122,FUT10,43090,43100,43132,43115,837,500
20210125,FUT1,125,155,110,235,1177,379
20210125,FUT2,100,100,100,100,1166,596
20210125,FUT3,4370,4425,4360,4300,1032,435
20210125,FUT4,3580,3740,3500,3680,1212,425
20210125,FUT5,100,100,100,100,618,490
20210125,FUT6,165,195,100,175,1132,365
20210125,FUT7,32535,32595,32465,32545,988,399
20210125,FUT8,1400,1435,1285,1405,934,527
